Bus_stop_name,Latitude,Longitude
Wipro Gate,12.83791127,77.65832738
Infosys,12.84554523,77.66334325
STATE BANK OF INDIA,12.8455016811,77.6653715868
Electronic City,12.8475345,77.67071245
Konappana Agrahara,12.8548020311,77.6650205534
Hosa_Road,12.86915506,77.65373807
Singasandra,12.87731323,77.64698748
Kudlu_Gate,12.88955751,77.63946849
Garebhavi_Palya,12.8961563477,77.6354038285
Bommanahalli,12.90483535,77.63007568
Roopena_Agrahar,12.9116731076,77.6258354692
Central Silk Board,12.9165109154,77.6210663884
